QUOTE,1581518931511,SUBS,key,symbol,key,SH
QUOTE,1581518931511,SUBS,4,bid-size,4,2280
QUOTE,1581518931511,SUBS,5,ask-size,5,219
QUOTE,1581518931511,SUBS,key,symbol,key,VOO
QUOTE,1581518931511,SUBS,2,ask-price,2,309.69
QUOTE,1581518931511,SUBS,5,ask-size,5,5
QUOTE,1581518931511,SUBS,6,ask-id,6,K
QUOTE,1581518931511,SUBS,7,bid-id,7,T
QUOTE,1581518931511,SUBS,key,symbol,key,SPXL
QUOTE,1581518931511,SUBS,5,ask-size,5,10
QUOTE,1581518931511,SUBS,key,symbol,key,IVV
QUOTE,1581518931511,SUBS,2,ask-price,2,338.55
QUOTE,1581518931511,SUBS,4,bid-size,4,2
QUOTE,1581518931511,SUBS,5,ask-size,5,5
QUOTE,1581518931511,SUBS,6,ask-id,6,N
QUOTE,1581518931511,SUBS,7,bid-id,7,K
QUOTE,1581518931511,SUBS,key,symbol,key,SPY
QUOTE,1581518931511,SUBS,1,bid-price,1,336.99
QUOTE,1581518931511,SUBS,3,last-price,3,336.995
QUOTE,1581518931511,SUBS,4,bid-size,4,10
QUOTE,1581518931511,SUBS,5,ask-size,5,30
QUOTE,1581518931511,SUBS,7,bid-id,7,P
QUOTE,1581518931511,SUBS,key,symbol,key,SSO
QUOTE,1581518931511,SUBS,2,ask-price,2,164.56
QUOTE,1581518931511,SUBS,5,ask-size,5,1
QUOTE,1581518931511,SUBS,6,ask-id,6,N
QUOTE,1581518931511,SUBS,7,bid-id,7,Z
QUOTE,1581518931511,SUBS,key,symbol,key,SPXU
QUOTE,1581518931511,SUBS,4,bid-size,4,225
QUOTE,1581518931511,SUBS,key,symbol,key,SPXS
QUOTE,1581518931511,SUBS,4,bid-size,4,1429
QUOTE,1581518989813,SUBS,key,symbol,key,SH
QUOTE,1581518989813,SUBS,delayed,delayed,delayed,False
QUOTE,1581518989813,SUBS,assetMainType,asset-main-type,assetMainType,EQUITY
QUOTE,1581518990839,SUBS,key,symbol,key,SH
QUOTE,1581518990839,SUBS,4,bid-size,4,2570
QUOTE,1581518990839,SUBS,key,symbol,key,VOO
QUOTE,1581518990839,SUBS,1,bid-price,1,309.59
QUOTE,1581518990839,SUBS,2,ask-price,2,309.61
QUOTE,1581518990839,SUBS,4,bid-size,4,3
QUOTE,1581518990839,SUBS,5,ask-size,5,10
QUOTE,1581518990839,SUBS,6,ask-id,6,K
QUOTE,1581518990839,SUBS,7,bid-id,7,N
QUOTE,1581518990839,SUBS,key,symbol,key,SPXL
QUOTE,1581518990839,SUBS,1,bid-price,1,74.97
QUOTE,1581518990839,SUBS,2,ask-price,2,74.98
QUOTE,1581518990839,SUBS,4,bid-size,4,3
QUOTE,1581518990839,SUBS,5,ask-size,5,8
QUOTE,1581518990839,SUBS,6,ask-id,6,Z
QUOTE,1581518990839,SUBS,7,bid-id,7,T
QUOTE,1581518990839,SUBS,key,symbol,key,IVV
QUOTE,1581518990839,SUBS,1,bid-price,1,338.43
QUOTE,1581518990839,SUBS,2,ask-price,2,338.46
QUOTE,1581518990839,SUBS,4,bid-size,4,2
QUOTE,1581518990839,SUBS,5,ask-size,5,6
QUOTE,1581518990839,SUBS,7,bid-id,7,P
QUOTE,1581518990839,SUBS,key,symbol,key,SPY
