QUOTE,1581180830449,SUBS,10,trade-time,10,71985
QUOTE,1581180830449,SUBS,11,quote-time,11,71998
QUOTE,1581180830449,SUBS,12,high-price,12,323.4
QUOTE,1581180830449,SUBS,13,low-price,13,318
QUOTE,1581180830449,SUBS,14,bid-tick,14, 
QUOTE,1581180830449,SUBS,15,close-price,15,320.03
QUOTE,1581180830449,SUBS,16,exchange-id,16,q
QUOTE,1581180830449,SUBS,17,marginable,17,True
QUOTE,1581180830449,SUBS,18,shortable,18,True
QUOTE,1581180830449,SUBS,22,quote-day,22,18299
QUOTE,1581180830449,SUBS,23,trade-day,23,18299
QUOTE,1581180830449,SUBS,24,volatility,24,0.0102
QUOTE,1581180830449,SUBS,25,description,25,Apple Inc. - Common Stock
QUOTE,1581180830449,SUBS,26,last-id,26,Q
QUOTE,1581180830449,SUBS,27,digits,27,4
QUOTE,1581180830449,SUBS,28,open-price,28,322.37
QUOTE,1581180830449,SUBS,29,net-change,29,-0.54
QUOTE,1581180830449,SUBS,30,52 -week-high,30,327.85
QUOTE,1581180830449,SUBS,31,52-week-low,31,168.42
QUOTE,1581180830449,SUBS,32,pe-ratio,32,25.6848
QUOTE,1581180830449,SUBS,33,dividend-amount,33,3.08
QUOTE,1581180830449,SUBS,34,dividend-yield,34,0.96
QUOTE,1581180830449,SUBS,39,exchange-name,39,NASD
QUOTE,1581180830449,SUBS,40,dividend-date,40,2020-02-07 00:00:00.000
QUOTE,1581180830449,SUBS,41,regular-market-quote,41,True
QUOTE,1581180830449,SUBS,43,regular-market-last-price,43,320.03
QUOTE,1581180830449,SUBS,44,regular-market-last-size,44,11427
QUOTE,1581180830449,SUBS,45,regular-market-trade-time,45,57600
QUOTE,1581180830449,SUBS,46,regular-market-trade-day,46,18299
QUOTE,1581180830449,SUBS,48,security-status,48,Normal
QUOTE,1581180830449,SUBS,49,mark,49,320.03
QUOTE,1581180830449,SUBS,50,quote-time-in-long,50,1581123598140
QUOTE,1581180830449,SUBS,51,trade-time-in-long,51,1581123585536
QUOTE,1581180830449,SUBS,52,regular-market-trade-time-in-long,52,1581109200310
